date,value
1996-01-01,100.0
1996-02-01,100.0
1996-03-01,107.2391
1996-04-01,108.8837
1996-05-01,104.9403
1996-06-01,106.0853
1996-07-01,109.0564
1996-08-01,105.7778
1996-09-01,112.5907
1996-10-01,116.287
1996-11-01,115.7527
1996-12-01,121.4677
1997-01-01,122.2323
1997-02-01,121.0968
1997-03-01,121.3463
1997-04-01,116.9426
1997-05-01,116.5789
1997-06-01,116.8407
1997-07-01,123.3612
1997-08-01,130.8936
1997-09-01,130.7615
1997-10-01,135.26
1997-11-01,135.831
1997-12-01,125.6671
1998-01-01,120.732
1998-02-01,118.2002
1998-03-01,121.0256
1998-04-01,125.8292
1998-05-01,132.2785
1998-06-01,124.2702
1998-07-01,125.4921
1998-08-01,125.4705
1998-09-01,126.9197
1998-10-01,117.4138
1998-11-01,106.6369
1998-12-01,107.0649
1999-01-01,113.27
1999-02-01,114.7772
1999-03-01,125.5642
1999-04-01,135.3404
1999-05-01,140.5876
1999-06-01,140.1613
1999-07-01,150.0358
1999-08-01,156.7637
1999-09-01,160.2188
1999-10-01,160.3484
1999-11-01,168.1528
1999-12-01,178.7502
2000-01-01,183.8927
2000-02-01,191.668
2000-03-01,185.7913
2000-04-01,173.9549
2000-05-01,188.1801
2000-06-01,191.9379
2000-07-01,191.6099
2000-08-01,204.9315
2000-09-01,210.6382
2000-10-01,199.5512
2000-11-01,199.7801
2000-12-01,185.3837
2001-01-01,183.1006
2001-02-01,191.6212
2001-03-01,185.1959
2001-04-01,177.7602
2001-05-01,180.5757
2001-06-01,184.8073
2001-07-01,176.2407
2001-08-01,171.7535
2001-09-01,169.4672
2001-10-01,144.9627
2001-11-01,141.6649
2001-12-01,147.4445
2002-01-01,152.4519
2002-02-01,161.3359
2002-03-01,170.0016
2002-04-01,178.7506
2002-05-01,172.0448
2002-06-01,163.0944
2002-07-01,164.1416
2002-08-01,153.7369
2002-09-01,158.434
2002-10-01,153.9093
2002-11-01,143.2729
2002-12-01,157.245
2003-01-01,156.9415
2003-02-01,156.6557
2003-03-01,144.8669
2003-04-01,135.5257
2003-05-01,144.6284
2003-06-01,153.0549
2003-07-01,160.4477
2003-08-01,164.8278
2003-09-01,161.3467
