date,value
2010-01-01,3952627
2010-02-01,7910844
2010-03-01,13834049
2010-04-01,13830732
2010-05-01,15648933
2010-06-01,15464273
2010-07-01,11421425
2010-08-01,10012682
2010-09-01,8008343
2010-10-01,9299194
2010-11-01,17579949
2010-12-01,9472663
2011-01-01,6905516
2011-02-01,11634199
2011-03-01,10287606
2011-04-01,16078578
2011-05-01,20322942
2011-06-01,20549973
2011-07-01,10151655
2011-08-01,17379700
2011-09-01,13879914
2011-10-01,10065701
2011-11-01,11345812
2011-12-01,14316006
2012-01-01,12740705
2012-02-01,11687389
2012-03-01,27095292
2012-04-01,23256945
2012-05-01,16349037
2012-06-01,13312813
2012-07-01,11745354
2012-08-01,16916274
2012-09-01,13190837
2012-10-01,15150483
2012-11-01,12536453
2012-12-01,21520397
2013-01-01,15345135
2013-02-01,17892398
2013-03-01,31521229
2013-04-01,25213505
2013-05-01,17760120
2013-06-01,18197629
2013-07-01,14536631
2013-08-01,20573505
2013-09-01,18516222
2013-10-01,17639851
2013-11-01,15651127
2013-12-01,23672627
2014-01-01,13406903
2014-02-01,13541630
2014-03-01,18246486
2014-04-01,13761411
2014-05-01,19265375
2014-06-01,18729821
2014-07-01,16968828
2014-08-01,17721028
2014-09-01,15579652
2014-10-01,17608805
2014-11-01,19270028
2014-12-01,18631219
2015-01-01,18168457
2015-02-01,14694061
2015-03-01,21384236
2015-04-01,21455455
2015-05-01,19741336
2015-06-01,19243373
2015-07-01,28444787
2015-08-01,31236437
2015-09-01,27569672
2015-10-01,25139797
2015-11-01,21247351
2015-12-01,24766334
2016-01-01,16411833
2016-02-01,21492557
2016-03-01,24132451
2016-04-01,22634324
2016-05-01,23141869
2016-06-01,22040169
2016-07-01,22581890
2016-08-01,28822375
2016-09-01,20809770
2016-10-01,29818135
2016-11-01,24791890
2016-12-01,28405110
2017-01-01,25085808
2017-02-01,22888437
2017-03-01,36391723
2017-04-01,41936738
2017-05-01,35344292
2017-06-01,33110807
2017-07-01,41507665
2017-08-01,29820151
2017-09-01,35225751
2017-10-01,36171225
2017-11-01,39632518
2017-12-01,53382288
2018-01-01,30573259
2018-02-01,33401908
2018-03-01,40506532
2018-04-01,40910960
2018-05-01,40027108
2018-06-01,49833779
2018-07-01,34478403
2018-08-01,57176652
2018-09-01,34211328
2018-10-01,40016013
2018-11-01,39632845
2018-12-01,38602258
2019-01-01,35141289
2019-02-01,30696337
2019-03-01,28860542
2019-04-01,28750155
2019-05-01,30715728
2019-06-01,28904229
2019-07-01,31401853
2019-08-01,35983899
2019-09-01,41344088
2019-10-01,48607182
2019-11-01,49517116
2019-12-01,42911678
2020-01-01,41015777
2020-02-01,29820068
2020-03-01,35321943
2020-04-01,29360354
2020-05-01,20786468
2020-06-01,29431247
2020-07-01,30007525
2020-08-01,41054630
2020-09-01,47777383
2020-10-01,39349522
2020-11-01,34692380
2020-12-01,37698961
2021-01-01,40230898
2021-02-01,32225762
2021-03-01,43288649
2021-04-01,38542298
2021-05-01,41101333
2021-06-01,46174991
2021-07-01,49282255
2021-08-01,41565816
2021-09-01,34886579
2021-10-01,46124415
2021-11-01,35469327
2021-12-01,48952416
2022-01-01,40097499
2022-02-01,28343476
2022-03-01,41042350
2022-04-01,57734883
2022-05-01,55214608
2022-06-01,66343956
2022-07-01,37736033
2022-08-01,30156352
2022-09-01,36923604
2022-10-01,40089221
2022-11-01,33190182
2022-12-01,56346497
2023-01-01,33028253
2023-02-01,34677001
2023-03-01,38392561
2023-04-01,42339599
2023-05-01,46494569
2023-06-01,46800650
2023-07-01,32679186
2023-08-01,33274785
2023-09-01,34691026
2023-10-01,59566163
2023-11-01,61642887
2023-12-01,54952871
2024-01-01,49980564
2024-02-01,40970529
2024-03-01,55952370
2024-04-01,61317924
2024-05-01,50475604
2024-06-01,51517887
2024-07-01,49187706
2024-08-01,52238417
2024-09-01,44631700
2024-10-01,41673874
2024-11-01,56198642
2024-12-01,48880277
2025-01-01,50003099
2025-02-01,48983448
2025-03-01,63772986
2025-04-01,48910074
2025-05-01,35942456
2025-06-01,47420355
2025-07-01,51188939
2025-08-01,47833514
2025-09-01,58655507
2025-10-01,60774567
2025-11-01,51123508
2025-12-01,53869706
2026-01-01,59443948
2026-02-01,66920513
2026-03-01,84570989
